symbol	probe_id
DDR1	1007_s_at
RFC2	1053_at
HSPA6	117_at
PAX8	121_at
GUCA1A	1255_g_at
UBA7	1294_at
THRA	1316_at
PTPN21	1320_at
CCL5	1405_i_at
CYP2E1	1431_at
EPHB3	1438_at
ESRRA	1487_at
CYP2A6	1494_f_at
SCARB1	1552256_a_at
TTLL12	1552257_a_at
LINC00152	1552258_at
WFDC2	1552261_at
MAPK1	1552263_at
ADAM32	1552266_at
SPATA17	1552269_at
PRR22	1552271_at
PXK	1552274_at
VPS18	1552276_a_at
MSANTD3	1552277_a_at
SLC46A1	1552278_a_at
TIMD4	1552280_at
SLC39A5	1552281_at
ZDHHC11	1552283_s_at
ATP6V1E2	1552286_at
AFG3L1P	1552287_s_at
CILP2	1552288_at
PIGX	1552291_at
TMEM196	1552293_at
SLC39A13	1552295_a_at
BEST4	1552296_at
AKD1	1552299_at
CORO6	1552301_a_at
TMEM106A	1552302_at
ALG10	1552304_at
TTC39C	1552307_a_at
NEXN	1552309_a_at
C15orf40	1552310_at
RAX2	1552311_a_at
MFAP3	1552312_a_at
EYA3	1552314_a_at
GIMAP1	1552315_at
KLK8	1552319_a_at
CCDC65	1552320_a_at
FAM122C	1552322_at
CCDC11	1552325_at
ARMCX4	1552327_at
RBBP6	1552329_at
CENPBD1	1552330_at
TRIOBP	1552332_at
CATSPER1	1552335_at
HOXD4	1552337_s_at
GSC	1552338_at
SP7	1552340_at
PDE7A	1552343_s_at
CNOT7	1552344_s_at
CRYZL1	1552347_at
PRSS33	1552348_at
C19orf26	1552354_at
MCMDC2	1552359_at
TIRAP	1552360_a_at
LEAP2	1552362_a_at
MSI2	1552364_s_at
SCIN	1552365_at
CTCFL	1552368_at
C4orf33	1552370_at
ZNF333	1552375_at
FAM18B2	1552377_s_at
RDH10	1552378_s_at
SRSF12	1552381_at
FAM71A	1552383_at
GAPT	1552386_at
FLJ30901	1552388_at
C8orf47	1552389_at
C1orf65	1552391_at
ENTHD1	1552393_at
TSSK3	1552395_at
WFDC6	1552396_at
CLEC12A	1552398_a_at
BRF1	1552399_a_at
C15orf27	1552400_a_at
GRIK1-AS2	1552401_a_at
CALML6	1552402_at
NLRP5	1552405_at
ODF4	1552408_at
CLEC4F	1552410_at
WFDC9	1552414_at
NEDD1	1552417_a_at
TTLL10	1552418_at
CALR3	1552421_a_at
C10orf25	1552422_at
ETV3	1552423_at
KLHL10	1552424_at
TM2D3	1552426_a_at
ZNF485	1552427_at
WDR17	1552430_at
MFSD6L	1552432_at
CDH23	1552436_a_at
ANKAR	1552438_a_at
MEGF11	1552439_s_at
GPR182	1552440_at
ESX1	1552445_a_at
C8orf12	1552448_a_at
SCGB1C1	1552449_a_at
DNAJC5G	1552450_a_at
WDR88	1552452_at
PRUNE2	1552455_at
MBD3L2	1552456_a_at
ADAMTSL1	1552457_a_at
MBD3L1	1552458_at
FAM46D	1552461_at
SERPINB11	1552463_at
LINC00161	1552466_x_at
DSCR10	1552467_at
ABHD11	1552470_a_at
ACAP2	1552472_a_at
GAMT	1552473_at
PLCD3	1552476_s_at
IRF6	1552477_a_at
PTPRC	1552480_s_at
MAN1A2	1552481_s_at
RAPH1	1552482_at
SMCR8	1552484_at
LACTB	1552485_at
BNC1	1552487_a_at
MPP4	1552489_s_at
LACE1	1552490_at
IDI2	1552491_at
CYP11B1	1552493_s_at
TAF8	1552494_at
COBL	1552496_a_at
SLAMF6	1552497_a_at
ZSCAN20	1552498_at
GPBAR1	1552501_a_at
RHBDL2	1552502_s_at
FRAS1	1552503_at
BRSK1	1552504_a_at
CRB2	1552506_at
KCNE4	1552507_at
CD300LG	1552509_a_at
