rom GENESYM to affyhg
LXR	C19orf46
LBP-1	RCVRN
SOX10	PATL1
EBF	C3orf37
PU.1	C1orf220
SOX10	PATL2
N-Myc	RORC
SOX4	NSUN3
USF	CNPPD1
ATF	C7orf70
NeuroD	DHCR7
MAFA	C4BPA
SOX10	NT5C1B
SOX10	MIR4320
Nrf-1	METTL11A
TEF-1	HSP90AB2P
ETS2	NOVA2
YY1	LOC100190938
Ebox	TPD52
ETS2	CMA1
AP-1	SETD8
TEF-1	OR1B1
PU.1	C1orf228
FXR	C20orf160
SOX10	MIR4323
ETS2	EFCAB4B
ETS2	CXorf64
TCF4	RAD17
NUR77	C20orf26
ETS2	CXorf65
MAFA	TANC1
SOX10	MIR4325
Nrf-1	NUBP1
YY1	LDLRAP1
STAT4	ZDHHC21
E2A	POM121L9P
CREB	RAB3A
ETS2	C11orf30
YY1	GPHA2
ETS2	C11orf31
PU.1	SPI1
ATF2:c-Jun	S1PR2
HNF4	PIRT
HNF4	ZIC1
HNF4	ZIC2
ETS2	C11orf35
TEF-1	IDO1
c-Rel	DCLK1
ETS2	C11orf36
FXR	HIGD2A
E2A	MYST4
FXR	ASAP2
HNF4	ZIC4
GR	ENGASE
HNF4	ZIC5
MAFA	HTATSF1
NFAT2	C11orf31
TEF-1	POLR1A
PU.1	ATN1
TEF-1	POLR1B
NFAT2	MED24
TEF-1	POLR1C
deltaEF1	SUN1
TEF-1	POLR1D
NURR1	HOXA11-AS1
PMX2A	TMEM178
TEF-1	POLR1E
Myc	C2orf71
PPAR	PAK4
PMX2A	TMEM179
LEF1	CDKN2B
SOX10	MLLT6
TEF-1	LOC646982
MAFA	CTNND2
GLI2	MGC45800
LEF1	CDKN2C
CAR	GPR148
PR	NOSTRIN
PUR1	TRNP1
SOX10	HDAC10
STAT4	BRMS1
Elk-1	C9orf95
NeuroD	NOS1AP
STAT3	MIR455
NURR1	AP2M1
Myc	C2orf76
ETS2	RUFY1
SOX4	LOC100131691
SOX10	BZRAP1
LBP-1	ATP5G1
E47	GALNTL4
LBP-1	BEX2
ETS2	CMAH
ETS2	RUFY2
EBF	FHOD3
LBP-1	ATP5G2
ETS2	PID1
ETS2	RUFY3
ETS2	KIAA1522
PU.1	LOC645323
CTCF	PMPCB
ETS2	RUFY4
GR	TTC8
USF1	FAM125B
HMGIY	HS3ST3B1
USF	MIR1909
STAT3	LOC494127
PU.1	SEPT4
Tel-2	CACNG3
YY1	TMEM200A
AP-2rep	PACRG
PU.1	SEPT5
NeuroD	SPRR1A
YY1	TMEM200B
NeuroD	SPRR1B
PU.1	SEPT6
HMGIY	FAM3C
MAFA	VCAM1
TCF-4	TNP1
AREB6	POU2F3
PUR1	GPR88
PPAR	TMEM143
PUR1	CNTROB
SOX9	FEN1
HNF4	DDX10
Pax-4	LOC154860
PU.1	SEPT9
USF	SEMA6D
ETS2	CMAS
NURR1	PPHLN1
NeuroD	RAI14
PPARdirectrepeat1	C10orf140
NeuroD	SIM1
NeuroD	SIM2
GR	C1QL4
STAT3	ELOVL1
ETS2	LOC338963
HMGIY	ROBO1
ETS2	HIST3H2BB
HMGIY	ROBO2
HMGIY	OTC
HMGIY	ROBO3
GABP	TTF1
HMGIY	ROBO4
STAT3	ELOVL5
STAT6	MCOLN3
HNF4	DDX17
LBP-1	OTOR
LEF1	NEGR1
NeuroD	FAHD1
