ATF3	Asxl3
HNF4	Phf15
ETS2	Pdik1l
Elk-1	Dhx30
HNF4	Phf16
CREB	Skil
MEIS1A:HOXA9	Zfp281
HNF4	Phf17
MAFA	Gpr139
MAFA	Tgm6
HNF4	Phf19
NUR77	Hmgn3
Ebox	Cops7a
MAFA	Tgm7
myogenin	Mcf2l
AP-2rep	Btk
Stat3	Pi4k2b
HNF4	Ptges
HNF4	AK010878
NF-Y	Pgm3
HNF4	Pgp
NRF-1	Cox17
HNF4	Brs3
ETS2	Mocos
ESE1	Adam7
myogenin	Bhlhb9
ATF	Scg2
GR	Abcd3
NRF-1	Cox18
HNF4	Gapt
SOX5	Olfr812
Stat3	Cbx3
myogenin	Cul1
GLI2	Cggbp1
SOX5	Olfr813
CLOCK:BMAL	Cand1
ETS2	Srrt
SOX5	Olfr814
Prop-1	Cyld
AML1	Rergl
NFAT3	Ddr1
SOX5	Olfr815
Elk-1	Batf2
MAFA	Ephx3
SOX5	Olfr816
CLOCK:BMAL	Atpif1
ATF	Mrpl48
HNF4	Mir128-1
Esrrb	Cel
HNF4	Mir128-2
GABP	Fam82a1
myogenin	Cul7
SOX5	Olfr818
ETS2	Ttll2
SOX5	Olfr819
HNF4	Zer1
HNF4	Aldh9a1
SOX5	Fam159b
PUR1	Prop1
T3R	Olfr1354
POU3F2	Kcnt2
ETS2	Ttll5
HNF4	Atp5b
ETS2	Ttll6
STAT6	Il2rg
Stat3	Inadl
OTX	Trim44
Oct-1	Gm1045
Meis2	Snord19
NRF-1	Galntl1
HNF4	Atp5d
PUR1	Aox3l1
HNF4	Atp5e
COUP	Hspe1
HNF4	Kif20a
HNF4	Azi1
MAFA	Rpl32
HNF4	Kif20b
AML1	App
MEF-2	Ywhah
HNF4	Azi2
Stat3	Cst11
Stat3	Tial1
PPARG	Olfr1467
PPARG	Aip
HNF4	Atp5h
NFAT3	Nhlh1
Nkx2-5	Olfr1182
PPARG	Sox15
NRSE	Gpr6
HNF4	Atp5j
GR	Tmem71
AP-2rep	Runx1t1
HNF4	Atp5k
HNF4	Atp5l
MAFA	Npsr1
myogenin	Iyd
HNF4	Slc26a1
HNF4	Slc26a2
Nkx2-5	Olfr1188
HNF4	Cacybp
HNF4	Atp5o
MAFA	Kif2a
HNF4	Slc26a3
HNF4	Slc26a4
E2A	Cabp7
AP-2rep	Map6d1
HNF4	Clint1
GLI3	1810027O10Rik
HNF4	Slc26a6
Stat3	Faah
AML1	Hira
HNF4	Slc26a7
HNF4	Sik1
OTX	Rbfox2
STAT6	Tmed10
AP-2rep	Txnrd1
AP-2rep	Taf5l
GR	Vps4a
HNF4	Slc26a9
Stat3	Polg
HNF4	Sik2
Stat3	Polh
ETS2	Arid4a
PUR1	Krt9
HNF4	Sik3
SOX5	Spock2
ETS2	Idh1
Ebox	Snord110
AML1	Olfr1505
PUR1	Lgi4
Nkx2-5	Gm5901
AML1	Atp6v0a2
AP-2rep	Card10
Stat3	Polk
myogenin	Fstl4
AML1	Olfr1506
PPARG	Rps6ka1
Stat3	Poll
T3R	Il25
ETS2	Tmem106a
GLI2	Psmd10
AP-2rep	Gpr101
AML1	Vamp5
AP-2rep	4930506M07Rik
SOX5	Snord66
ETS2	3110001I22Rik
AML1	Olfr1509
CREB	Cyld
ETS2	Tmem106b
HNF4	Cyp7a1
NF-Y	Kif14
PPARG	Rps6ka5
COUP	Tead4
myogenin	Vit
ETS2	2310057N15Rik
PPARG	Rps6ka6
ETS2	Timm8a1
ETS2	Lpar2
ETS2	Sestd1
Stat3	Polq
SOX5	Snord69
AP-2rep	Ppp2ca
Nkx2-5	Aqp4
GABPA	Ap1s2
ETS2	Lpar4
Stat3	Olfr538
myogenin	Scrt1
NRF-1	Slc12a6
NFAT3	Vmn1r135
STAT6	Mest
ETS2	Lpar5
AP-2rep	Gpr108
Elk-1	Sin3a
AP-1	Slc6a17
Stat3	AI464131
SOX5	Ndufb3
AML1	2700086A05Rik
SOX5	Ndufb4
AP-2rep	Lynx1
AP-2rep	Asb10
ETS2	Nck1
myogenin	Lnx1
AP-2rep	2700046A07Rik
YY1	Gart
AML1	Polr3b
ETS2	Gm14005
